"Date","Price","Open","High","Low","Change %"
"Jul 01, 2020","0.162","0.173","0.173","0.157","1.25%"
"Jun 30, 2020","0.160","0.162","0.173","0.155","0.00%"
"Jun 29, 2020","0.160","0.178","0.178","0.157","-3.03%"
"Jun 28, 2020","0.165","0.165","0.165","0.165","1.85%"
"Jun 26, 2020","0.162","0.173","0.190","0.162","-8.99%"
"Jun 25, 2020","0.178","0.190","0.190","0.173","0.00%"
"Jun 24, 2020","0.178","0.193","0.193","0.175","0.00%"
"Jun 23, 2020","0.178","0.188","0.190","0.173","1.71%"
"Jun 22, 2020","0.175","0.193","0.193","0.173","-1.52%"
"Jun 21, 2020","0.178","0.178","0.178","0.178","0.00%"
"Jun 19, 2020","0.178","0.180","0.196","0.175","-2.73%"
"Jun 18, 2020","0.183","0.211","0.211","0.183","-5.18%"
"Jun 17, 2020","0.193","0.200","0.203","0.188","0.00%"
"Jun 16, 2020","0.193","0.195","0.195","0.178","8.43%"
"Jun 15, 2020","0.178","0.178","0.193","0.178","0.00%"
"Jun 12, 2020","0.178","0.188","0.216","0.175","-2.73%"
"Jun 11, 2020","0.183","0.185","0.200","0.180","-1.08%"
"Jun 10, 2020","0.185","0.200","0.208","0.183","-1.60%"
"Jun 09, 2020","0.188","0.200","0.208","0.188","0.00%"
"Jun 08, 2020","0.188","0.198","0.198","0.180","2.90%"
"Jun 07, 2020","0.183","0.188","0.188","0.183","0.00%"
"Jun 05, 2020","0.183","0.188","0.195","0.170","5.78%"
"Jun 04, 2020","0.173","0.188","0.188","0.170","-3.89%"
"Jun 03, 2020","0.180","0.183","0.190","0.168","5.88%"
"Jun 02, 2020","0.170","0.183","0.190","0.165","0.00%"
"Jun 01, 2020","0.170","0.188","0.195","0.168","-1.51%"
"May 31, 2020","0.173","0.175","0.175","0.173","0.00%"
"May 29, 2020","0.173","0.188","0.198","0.170","-3.89%"
"May 28, 2020","0.180","0.198","0.206","0.178","-1.64%"
"May 27, 2020","0.183","0.198","0.198","0.168","5.78%"
"May 26, 2020","0.173","0.183","0.188","0.162","6.53%"
"May 25, 2020","0.162","0.162","0.162","0.162","-1.58%"
"May 22, 2020","0.165","0.183","0.183","0.162","0.00%"
"May 21, 2020","0.165","0.178","0.183","0.157","3.13%"
"May 20, 2020","0.160","0.188","0.190","0.157","1.91%"
"May 19, 2020","0.157","0.157","0.183","0.155","-4.85%"
"May 18, 2020","0.165","0.157","0.168","0.147","10.22%"
"May 17, 2020","0.150","0.150","0.150","0.150","1.84%"
"May 15, 2020","0.147","0.152","0.162","0.145","-6.37%"
"May 14, 2020","0.157","0.157","0.173","0.147","1.29%"
"May 13, 2020","0.155","0.155","0.168","0.152","-3.12%"
"May 12, 2020","0.160","0.155","0.168","0.155","0.00%"
"May 11, 2020","0.160","0.160","0.173","0.142","-8.62%"
"May 10, 2020","0.175","0.175","0.175","0.175","16.73%"
"May 08, 2020","0.150","0.162","0.162","0.127","5.63%"
"May 07, 2020","0.142","0.160","0.185","0.137","-12.35%"
"May 06, 2020","0.162","0.173","0.173","0.160","0.00%"
"May 05, 2020","0.162","0.160","0.170","0.157","-1.82%"
"May 04, 2020","0.165","0.193","0.193","0.157","-1.49%"
"May 03, 2020","0.168","0.168","0.168","0.168","0.30%"
"May 01, 2020","0.167","0.193","0.193","0.160","0.00%"
"Apr 30, 2020","0.167","0.188","0.188","0.150","1.21%"
"Apr 29, 2020","0.165","0.170","0.185","0.157","-1.20%"
"Apr 28, 2020","0.167","0.203","0.203","0.162","-6.18%"
"Apr 27, 2020","0.178","0.196","0.196","0.168","4.71%"
"Apr 26, 2020","0.170","0.170","0.170","0.170","0.00%"
"Apr 24, 2020","0.170","0.193","0.193","0.168","-1.73%"
"Apr 23, 2020","0.173","0.188","0.188","0.160","4.85%"
"Apr 22, 2020","0.165","0.173","0.162","0.175","13.79%"
